NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69845503,BUAH HATI IBU,KB,SWASTA,SUNGAI RAYA,KARIMUNTING Kec. Sungai Raya Kepulauan,Kab. Bengkayang,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2336FE83-9270-4A12-ACDC-E183AFDDC268
69821251,KB MUTIARA II,KB,SWASTA,DUSUN PAKKA II,PATTONGKO Kec. Tellu Limpoe,Kab. Sinjai,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F16D7F3-F8A7-4AA6-95AB-E18422C88CE7
69940191,PAUD PG.MELATI MUTIARA,KB,SWASTA,Grand Cibubur Country Custer Aple Word 2...,Cikeas Udik Kec. Gunungputri,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B09C6CE9-D678-4EAB-B2EC-E1843F9EDD0A
70004465,KOBER BUNDA NURSECHA UTAMI,KB,SWASTA,"Kampung Nurdin, RT 02 / RW 01",Lembur Barat Kec. Alor Tengah Utara,Kab. Alor,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0790CB9D-C6B8-46AF-8A7D-E1862EF6C158
69975512,KB DOA IBU,KB,SWASTA,DESA DURIAN SEMBILAN,Durian Sembilan Kec. Buay Pemaca,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/36542620-2315-43F7-8EF2-E1870B1F41B3
69933706,PAUD AL IKHLAS 2,KB,SWASTA,Desa Bukit Batu,BUKIT BATU Kec. Pangkalan Lapam,Kab. Ogan Komering Ilir,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BECE40C1-69F3-4CA7-93A0-E187205236CC
69843892,KB KHAIRUSSAAH,KB,SWASTA,PESOK,Surabaya Kec. Sakra Timur,Kab. Lombok Timur,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC5322AC-1073-465D-BCC9-E1878E440E0C
69928598,PAUD FATOR DITLAK,KB,SWASTA,SATHEAN,Sathean Kec. Kei Kecil,Kab. Maluku Tenggara,Maluku,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDBC6795-477F-4DF6-91FB-E18A73EFDC5A
69809778,KB NELABHINA MAKMUR,KB,SWASTA,Jl.Hasanuddin RT.03 Desa Pandan Makmur,Pandan Makmur Kec. Geragai,Kab. Tanjung Jabung Timur,Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE1F0A38-507D-42D9-A561-E18FFC46A2EF
69837373,KB NUSA INDAH,KB,SWASTA,SURUBENDO,Bedoyo Kec. Ponjong,Kab. Gunung Kidul,D.I. Yogyakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F563E98-45BA-402A-A55F-E191887D7AA7
